unique_id,ds,y
SKU_01,2020-01-28,4.0
SKU_01,2020-01-29,1.0
SKU_01,2020-01-30,19.0
SKU_01,2020-01-31,23.0
SKU_01,2020-02-01,4.0
SKU_01,2020-02-02,1.0
SKU_01,2020-02-03,13.0
SKU_01,2020-02-04,34.0
SKU_01,2020-02-05,2.0
SKU_01,2020-02-06,27.0
SKU_01,2020-02-07,10.0
SKU_01,2020-02-08,2.0
SKU_01,2020-02-09,2.0
SKU_01,2020-02-10,45.0
SKU_01,2020-02-11,0.0
SKU_01,2020-02-12,0.0
SKU_01,2020-02-13,0.0
SKU_01,2020-02-14,0.0
SKU_01,2020-02-15,0.0
SKU_01,2020-02-16,1.0
SKU_01,2020-02-17,0.0
SKU_01,2020-02-18,0.0
SKU_01,2020-02-19,6.0
SKU_01,2020-02-20,28.0
SKU_01,2020-02-21,4.0
SKU_01,2020-02-22,1.0
SKU_01,2020-02-23,0.0
SKU_01,2020-02-24,6.0
SKU_01,2020-02-25,3.0
SKU_01,2020-02-26,7.0
SKU_01,2020-02-27,3.0
SKU_01,2020-02-28,4.0
SKU_01,2020-02-29,0.0
SKU_01,2020-03-01,1.0
SKU_01,2020-03-02,17.0
SKU_01,2020-03-03,8.0
SKU_01,2020-03-04,34.0
SKU_01,2020-03-05,21.0
SKU_01,2020-03-06,41.0
SKU_01,2020-03-07,5.0
SKU_01,2020-03-08,5.0
SKU_01,2020-03-09,37.0
SKU_01,2020-03-10,26.0
SKU_01,2020-03-11,92.0
SKU_01,2020-03-12,74.0
SKU_01,2020-03-13,50.0
SKU_01,2020-03-14,15.0
SKU_01,2020-03-15,6.0
SKU_01,2020-03-16,105.0
SKU_01,2020-03-17,59.0
SKU_01,2020-03-18,12.0
SKU_01,2020-03-19,24.0
SKU_01,2020-03-20,39.0
SKU_01,2020-03-21,11.0
SKU_01,2020-03-22,0.0
SKU_01,2020-03-23,11.0
SKU_01,2020-03-24,2.0
SKU_01,2020-03-25,10.0
SKU_01,2020-03-26,10.0
SKU_01,2020-03-27,1.0
SKU_01,2020-03-28,4.0
SKU_01,2020-03-29,1.0
SKU_01,2020-03-30,1.0
SKU_01,2020-03-31,17.0
SKU_01,2020-04-01,18.0
SKU_01,2020-04-02,10.0
SKU_01,2020-04-03,14.0
SKU_01,2020-04-04,1.0
SKU_01,2020-04-05,4.0
SKU_01,2020-04-06,12.0
SKU_01,2020-04-07,16.0
SKU_01,2020-04-08,7.0
SKU_01,2020-04-09,16.0
SKU_01,2020-04-10,5.0
SKU_01,2020-04-11,8.0
SKU_01,2020-04-12,0.0
SKU_01,2020-04-13,10.0
SKU_01,2020-04-14,13.0
SKU_01,2020-04-15,23.0
SKU_01,2020-04-16,25.0
SKU_01,2020-04-17,11.0
